=== MEDICAL CORPUS INDEX ===

Total Documents: 191
Total Volume: 2 MB
Generated: 2026-05-03T21:56:14.615Z

=== DOCUMENTS ===
Subject | Source | Type | Pages | Size(KB) | Lines | Path
gastroenterology | Jaundice - CMED4IIM1 - 2026    | audio-transcript   | 11-14    |       20 |    269 | corpus/gastroenterology/audio-transcripts/Jaundice - CMED4IIM1 - 2026_pages-011-014.txt
geriatric      | Geriatric - Falls - CMED4IIM1  | audio-transcript   | 1-3      |        9 |    126 | corpus/geriatric/audio-transcripts/Geriatric - Falls - CMED4IIM1 - 2026_pages-001-003.txt
geriatric      | GeriatriC - Frailty - CMED4IIM | audio-transcript   | 1-3      |        8 |    107 | corpus/geriatric/audio-transcripts/GeriatriC - Frailty - CMED4IIM1 - 2026_pages-001-003.txt
geriatric      | Geriatric - latrogenesis - CME | audio-transcript   | 1-4      |       12 |    160 | corpus/geriatric/audio-transcripts/Geriatric - latrogenesis - CMED4IIM1 - 2026_pages-001-004.txt
geriatric      | Geriatric - Urinary Incontinen | audio-transcript   | 1-3      |        7 |     71 | corpus/geriatric/audio-transcripts/Geriatric - Urinary Incontinence - CMED4IIM1 - 2026_pages-001-003.txt
geriatric      |                                | book-text          | 1-10     |        4 |     90 | geriatric\book-texts\pages-001-010.txt
geriatric      |                                | book-text          | 11-20    |        3 |     74 | geriatric\book-texts\pages-011-020.txt
geriatric      |                                | book-text          | 21-23    |        1 |     23 | geriatric\book-texts\pages-021-023.txt
geriatric      |                                | book-text          | 21-25    |        2 |     42 | geriatric\book-texts\pages-021-025.txt
geriatric      |                                | book-text          | 21-30    |        4 |    101 | geriatric\book-texts\pages-021-030.txt
geriatric      |                                | book-text          | 31-40    |        2 |     85 | geriatric\book-texts\pages-031-040.txt
geriatric      | Geriatric_Medicine___Cognitive | book-text          | 1-10     |        4 |     90 | geriatric\book-texts\Geriatric_Medicine___Cognitive_impairment\pages-001-010.txt
geriatric      | Geriatric_Medicine___Cognitive | book-text          | 11-20    |        3 |     74 | geriatric\book-texts\Geriatric_Medicine___Cognitive_impairment\pages-011-020.txt
geriatric      | Geriatric_Medicine___Cognitive | book-text          | 21-30    |        4 |    101 | geriatric\book-texts\Geriatric_Medicine___Cognitive_impairment\pages-021-030.txt
geriatric      | Geriatric_Medicine___Cognitive | book-text          | 31-40    |        2 |     85 | geriatric\book-texts\Geriatric_Medicine___Cognitive_impairment\pages-031-040.txt
geriatric      | Geriatric_Medicine_CGA_and_eth | book-text          | 1-10     |        4 |     83 | geriatric\book-texts\Geriatric_Medicine_CGA_and_ethical_issues\pages-001-010.txt
geriatric      | Geriatric_Medicine_CGA_and_eth | book-text          | 11-20    |        2 |     81 | geriatric\book-texts\Geriatric_Medicine_CGA_and_ethical_issues\pages-011-020.txt
geriatric      | Geriatric_Medicine_CGA_and_eth | book-text          | 21-25    |        2 |     42 | geriatric\book-texts\Geriatric_Medicine_CGA_and_ethical_issues\pages-021-025.txt
geriatric      | Geriatric_Medicine_Common_Medi | book-text          | 1-10     |        3 |     76 | geriatric\book-texts\Geriatric_Medicine_Common_Medical_Conditions\pages-001-010.txt
geriatric      | Geriatric_Medicine_Common_Medi | book-text          | 11-20    |        3 |     77 | geriatric\book-texts\Geriatric_Medicine_Common_Medical_Conditions\pages-011-020.txt
geriatric      | Geriatric_Medicine_Common_Medi | book-text          | 21-23    |        1 |     23 | geriatric\book-texts\Geriatric_Medicine_Common_Medical_Conditions\pages-021-023.txt
nephrology     | Acute Kidney Disease - CMED4II | audio-transcript   | 1-7      |       19 |    229 | corpus/nephrology/audio-transcripts/Acute Kidney Disease - CMED4IIM1 - 2026_pages-001-007.txt
nephrology     | Approach To Chronic Kidney Dis | audio-transcript   | 1-5      |       13 |    292 | corpus/nephrology/audio-transcripts/Approach To Chronic Kidney Disease - CMED4IIM1 - 2026_pages-001-005.txt
nephrology     | Diabetic Kidney Disease - CMED | audio-transcript   | 1-5      |       15 |    169 | corpus/nephrology/audio-transcripts/Diabetic Kidney Disease - CMED4IIM1 - 2026_pages-001-005.txt
nephrology     | Drug  The Kidney - CMED4IIM1 - | audio-transcript   | 1-3      |        7 |    104 | corpus/nephrology/audio-transcripts/Drug  The Kidney - CMED4IIM1 - 2026_pages-001-003.txt
nephrology     | Glomerular Disease - CMED4IIM1 | audio-transcript   | 1-7      |       19 |    233 | corpus/nephrology/audio-transcripts/Glomerular Disease - CMED4IIM1 - 2026_pages-001-007.txt
nephrology     | HIV  The Kidney - CMED4IIM1 -  | audio-transcript   | 1-6      |       17 |    196 | corpus/nephrology/audio-transcripts/HIV  The Kidney - CMED4IIM1 - 2026_pages-001-006.txt
nephrology     | Hypertension  The Kidney - CME | audio-transcript   | 1-6      |       17 |    246 | corpus/nephrology/audio-transcripts/Hypertension  The Kidney - CMED4IIM1 -2026_pages-001-006.txt
nephrology     | Kidney Replacement Therapy - C | audio-transcript   | 1-4      |       10 |    132 | corpus/nephrology/audio-transcripts/Kidney Replacement Therapy - CMED4IIM1 - 2026_pages-001-004.txt
nephrology     | Nephrology Introduction - CMED | audio-transcript   | 1-4      |       12 |    150 | corpus/nephrology/audio-transcripts/Nephrology Introduction - CMED4IIM1 - 2026_pages-001-004.txt
nephrology     | Urinary Tract Infections (UTI) | audio-transcript   | 1-3      |        9 |    133 | corpus/nephrology/audio-transcripts/Urinary Tract Infections (UTI) - CMED4IIM1 - 2026_pages-001-003.txt
pulmonology    | Community-Acquired Pneumonia - | audio-transcript   | 1-10     |       18 |    249 | corpus/pulmonology/audio-transcripts/Community-Acquired Pneumonia - CMED4IIM1 - 2026_pages-001-010.txt
pulmonology    | Community-Acquired Pneumonia - | audio-transcript   | 11-13    |       18 |    265 | corpus/pulmonology/audio-transcripts/Community-Acquired Pneumonia - CMED4IIM1 - 2026_pages-011-013.txt
pulmonology    | Lung Cancer - CMED4IIM1 - 2026 | audio-transcript   | 1-10     |       19 |    223 | corpus/pulmonology/audio-transcripts/Lung Cancer - CMED4IIM1 - 2026_pages-001-010.txt
pulmonology    | Lung Cancer - CMED4IIM1 - 2026 | audio-transcript   | 11-13    |       19 |    222 | corpus/pulmonology/audio-transcripts/Lung Cancer - CMED4IIM1 - 2026_pages-011-013.txt
